epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,790.261,0.54197,3.09761,0.23306,0.43832,1.11074,0.99207,0.99964,0.995,0.93299,0.76599,0.77191,0.6964,0.33,0.36977,3.23735,0.03051,0.27956,1.07047,0.000965375,0.000965375,0.000965375
48,806.46,0.55735,3.08879,0.22603,0.4405,1.12544,0.99457,1,0.995,0.93076,0.78083,0.78441,0.70493,0.32463,0.4044,3.20079,0.0253,0.29597,1.09783,0.000959187,0.000959187,0.000959187
49,822.508,0.53777,3.04245,0.23114,0.43431,1.10956,0.9926,1,0.995,0.9374,0.75433,0.75941,0.67798,0.33104,0.36214,3.17205,0.03391,0.25509,1.05423,0.000953,0.000953,0.000953
50,838.788,0.55017,3.03651,0.22536,0.43703,1.11842,0.9897,1,0.995,0.94489,0.69643,0.70134,0.6519,0.34305,0.3438,3.25158,0.02899,0.24891,1.03393,0.000946812,0.000946812,0.000946812
51,854.915,0.53936,3.03358,0.22552,0.43038,1.11477,0.99454,1,0.995,0.95156,0.70634,0.70968,0.66536,0.30741,0.35628,3.33562,0.0253,0.2433,1.05366,0.000940625,0.000940625,0.000940625
52,870.987,0.54117,3.01213,0.22724,0.43087,1.11264,0.99554,1,0.995,0.93956,0.6407,0.63884,0.59356,0.30066,0.37913,3.40602,0.02211,0.26445,1.05962,0.000934438,0.000934438,0.000934438
53,886.913,0.5353,3.03144,0.22301,0.42951,1.11274,0.99489,1,0.995,0.95093,0.78942,0.79247,0.74142,0.33687,0.36905,3.19939,0.01286,0.27062,1.06505,0.00092825,0.00092825,0.00092825
54,903.05,0.53698,3.00533,0.22442,0.42947,1.10656,0.98806,0.99752,0.995,0.93937,0.73574,0.73078,0.68635,0.32638,0.3708,3.30363,0.03717,0.32262,1.06248,0.000922063,0.000922063,0.000922063
55,919.18,0.53973,2.93519,0.22288,0.42293,1.10723,0.9918,1,0.995,0.94493,0.77456,0.77191,0.73277,0.35133,0.3685,3.1948,0.01826,0.28416,1.05412,0.000915875,0.000915875,0.000915875
56,935.415,0.53623,2.97806,0.22364,0.41499,1.10996,0.99597,1,0.995,0.94776,0.71618,0.71828,0.64079,0.32261,0.39141,3.24526,0.01805,0.2828,1.08168,0.000909688,0.000909688,0.000909688
57,951.375,0.52241,2.96914,0.2175,0.41201,1.09927,0.98649,0.98781,0.995,0.96215,0.80028,0.79691,0.76639,0.36721,0.34929,3.11731,0.02123,0.2892,1.05108,0.0009035,0.0009035,0.0009035
